Object Name,Velocity(km/s),Redshift,Magnitude,Distance(Mpc)
NGC 1052,1488,0.004963,12.08,32.809529311311906
NGC 1055,996,0.003322,11.4,23.988329190194897
MESSIER 077,1137,0.003793,9.61,10.519618738232234
NGC 1058,520,0.001735,11.2,21.877616239495563
NGC 1073,1211,0.004039,11.47,24.774220576332862
NGC 1079,1452,0.004843,12.74,44.46312674691093
NGC 1084,1411,0.004707,11.6,26.302679918953814
NGC 1097,1271,0.00424,10.23,13.995873225726205
NGC 1087,1523,0.00508,12.2,34.67368504525324
NGC 1090,2740,0.009141,12.51,39.9944749761097
ESO 199- G 001,9476,0.031608,13.7,69.18309709189376
NGC 1145,2063,0.006881,13.81,72.77798045368242
NGC 1156,375,0.001251,12.32,36.643757464783334
NGC 1161,1901,0.00634,12.05,32.35936569296281
NGC 1187,1390,0.004637,11.67,27.164392688390837
WISEA J030319.11-561139.3,9746,0.032509,15.27,142.56075936021878
NGC 1169,2388,0.007966,12.2,34.67368504525324
NGC 1199,2570,0.008573,12.37,37.49730022454834
NGC 1201,1686,0.005624,12.2,34.67368504525324
NGC 1174,2740,0.00914,12.2,34.67368504525324
NGC 1209,2600,0.008673,12.86,46.98941086052151
MCG -07-07-004,6491,0.021652,15.1,131.825673855641
IC 0284,2722,0.00908,12.47,39.26449353995993
NGC 1218,8485,0.028302,13.84,73.79042301291015
NGC 1232,1603,0.005347,10.93,19.319683170169224
NGC 1249,1073,0.003579,12.19,34.514373933585574
NGC 1241,4026,0.013429,11.99,31.477483141013174
NGC 1247,3947,0.013166,13.47,62.23002851691589
NGC 1255,1686,0.005624,12.06,32.50872973854347
NGC 1253,1713,0.005713,12.27,35.80964371026355
IC 0310,5651,0.018849,13.89,75.50922276654342
NGC 1184,2342,0.007812,13.44,61.37620051647933
NGC 1291,839,0.002799,9.39,9.50604793656281
NGC 1313,470,0.001568,9.2,8.709635899560814
NGC 1272,3815,0.012725,12.86,46.98941086052151
NGC 1300,1578,0.005264,11.42,24.2102904673618
ESO 200-IG 004 NED01,9412,0.031395,15.81,182.81002161427446
NGC 1275,5264,0.017559,11.8,28.840315031265998
NGC 1302,1710,0.005704,11.69,27.41574171927881
WISEA J032236.10-580926.8,13643,0.045508,14.69,109.14403364487572
NGC 1316,1802,0.00601,9.4,9.54992586021435
NGC 1317,1941,0.006474,11.91,30.338911841942657
NGC 1326,1360,0.004537,12.2,34.67368504525324
NGC 1325,1591,0.005307,12.49,39.627803425544016
NGC 1332,1619,0.0054,12.11,33.26595532940047
NGC 1337,1239,0.004133,13.24,55.975760149511046
NGC 1339,1392,0.004643,12.5,39.81071705534969
NGC 1344,1241,0.00414,11.27,22.594357702209738
NGC 1351,1514,0.00505,12.5,39.81071705534969
NGC 1350,1905,0.006354,11.46,24.660393372343414
IC 1954,1062,0.003542,12.15,33.884415613920204
NGC 1353,1525,0.005087,12.57,41.114972110452214
NGC 1357,2009,0.006701,12.83,46.34469197362874
NGC 1365,1636,0.005457,10.32,14.588142602753473
UGC 02783,6054,0.020195,13.9,75.85775750291836
NGC 1371,1463,0.00488,11.2,21.877616239495563
NGC 1374,1294,0.004316,12.0,31.622776601683793
NGC 1379,1324,0.004416,11.8,28.840315031265998
NGC 1380,1877,0.006261,10.9,19.054607179632445
NGC 1381,1724,0.005751,12.4,38.018939632056124
NGC 1386,868,0.002895,12.09,32.96097121774583
NGC 1387,1302,0.004343,12.01,31.76874070649769
NGC 1389,921,0.003072,13.16,53.951062251512674
NGC 1385,1497,0.004993,11.76,28.313919957993786
NGC 1399,1425,0.004753,10.6,16.59586907437563
NGC 1395,1717,0.005727,10.97,19.67886289706843
NGC 1411,983,0.003279,12.23,35.156044052829905
NGC 1404,1947,0.006494,11.0,19.952623149688787
NGC 1398,1396,0.004657,10.63,16.826740610704707
NGC 1406,1075,0.003585,12.4,38.018939632056124
NGC 1400,590,0.001968,11.92,30.47894989627983
NGC 1407,1779,0.005934,10.7,17.378008287493763
NGC 1415,1552,0.005177,12.77,45.081670454145915
NGC 1433,1076,0.003589,10.7,17.378008287493763
NGC 1425,1512,0.005043,11.87,29.78516429429185
NGC 1427,1388,0.00463,11.8,28.840315031265998
NGC 1421,2090,0.006971,11.95,30.90295432513592
NGC 1426,1443,0.004813,13.11,52.72298614228222
NGC 1436,1387,0.004627,12.41,38.194427084004566
NGC 1448,1168,0.003896,11.4,23.988329190194897
NGC 1439,1667,0.005561,13.02,50.58246620031127
NGC 1440,1597,0.005327,12.56,40.926065973001094
IC 0334,2536,0.008459,12.45,38.904514499428124
NGC 1452,1737,0.005794,12.76,44.87453899331314
ESO 358- G 063,1929,0.006434,12.83,46.34469197362874
NGC 1453,3886,0.012962,12.77,45.081670454145915
IC 0342,31,0.000103,9.1,8.317637711026709
IC 1993,1080,0.003602,12.63,42.266861426560325
UGC 02855,1200,0.004003,13.5,63.09573444801929
IC 2000,980,0.003269,12.89,47.64309868054156
IC 2051,1753,0.005847,12.32,36.643757464783334
IC 2006,1382,0.00461,12.2,34.67368504525324
NGC 1493,1053,0.003512,11.78,28.575905433749497
NGC 1511,1341,0.004474,11.88,29.92264636608195
WISEA J040106.63-160639.0,9499,0.031685,16.12,210.86281499332972
NGC 1512,898,0.002995,11.13,21.18361135248504
NGC 1515,1175,0.00392,12.05,32.35936569296281
NGC 1507,863,0.002879,12.89,47.64309868054156
NGC 1518,918,0.003062,12.28,35.97493351557423
IC 0356,895,0.002985,11.39,23.878112829131783
NGC 1521,4243,0.014153,13.1,52.480746024977336
NGC 1527,1212,0.004043,11.74,28.05433637951716
NGC 1533,790,0.002635,11.7,27.54228703338169
NGC 1532,1040,0.003468,10.65,16.982436524617427
NGC 1543,1176,0.003922,11.46,24.660393372343414
NGC 1537,1429,0.004767,12.22,34.994516702835696
NGC 1546,1284,0.004284,11.8,28.840315031265998
NGC 1549,1256,0.00419,10.72,17.538805018417605
NGC 1553,1080,0.003602,10.28,14.321878992735453
NGC 1566,1504,0.005017,10.33,14.655478409559098
NGC 1574,1041,0.003472,11.36,23.55049283896009
NGC 1530,2458,0.008199,12.25,35.481338923357534
NGC 1596,1510,0.005037,12.1,33.11311214825914
NGC 1589,3796,0.012662,12.8,45.708818961487424
NGC 1617,1069,0.003566,11.38,23.76840286624878
NGC 1600,4681,0.015613,11.93,30.619634336906756
3C 120,9896,0.03301,14.1,83.17637711026708
NGC 1615,3330,0.011107,14.57,103.27614057613958
NGC 1637,717,0.002392,11.2,21.877616239495563
NGC 1672,1331,0.00444,10.28,14.321878992735453
NGC 1703,1526,0.00509,11.9,30.199517204020133
NGC 1700,3899,0.013006,12.2,34.67368504525324
NGC 1744,741,0.002472,11.9,30.199517204020133
NGC 1792,1211,0.004039,10.87,18.793168168032647
NGC 1784,2319,0.007735,12.44,38.725764492161645
NGC 1808,1001,0.003339,10.76,17.864875748520497
NGC 1832,1939,0.006468,10.6,16.59586907437563
NGC 1892,1363,0.004546,12.83,46.34469197362874
NGC 1888,2300,0.007672,12.83,46.34469197362874
NGC 1947,1100,0.003669,11.65,26.915348039269137
NGC 1954,3129,0.010437,12.44,38.725764492161645
NGC 1964,1661,0.00554,11.58,26.061535499988924
NGC 1961,3934,0.013122,10.9,19.054607179632445
NGC 2090,922,0.003075,11.99,31.477483141013174
NGC 2110,2293,0.007647,13.4,60.25595860743569
UGCA 116,804,0.002682,15.48,157.03628043335578
ESO 254- G 017,8925,0.029771,14.59,104.23174293933057
ESO 121- G 006,1211,0.004039,13.4,60.25595860743569
NGC 2188,747,0.002492,12.14,33.728730865886924
NGC 2196,2319,0.007735,11.82,29.107171180666082
NGC 2207,2751,0.009176,11.3,22.9086765276777
IC 2163,2688,0.008966,11.6,26.302679918953814
NGC 2146,892,0.002975,11.38,23.76840286624878
UGCA 128,1986,0.006625,12.63,42.266861426560325
NGC 2217,1619,0.0054,11.71,27.669416454115126
NGC 2223,2715,0.009056,12.35,37.153522909717275
Carina dSph,223,0.000744,11.3,22.9086765276777
NGC 2272,2130,0.007104,12.74,44.46312674691093
NGC 2280,1895,0.006321,9.97,12.416523075924095
NGC 2283,841,0.002805,12.93,48.5288500162121
NGC 2292,2036,0.006791,11.83,29.241523778433308
NGC 2293,2037,0.006795,12.28,35.97493351557423
NGC 2305,3499,0.011671,12.74,44.46312674691093
NGC 2273,1840,0.006138,12.55,40.73802778041122
NGC 2310,1142,0.003809,12.74,44.46312674691093
CGCG 204-027,6464,0.021562,14.6,104.71285480508985
NGC 2325,2185,0.007288,12.38,37.670379898390934
UGC 03691,2203,0.007348,12.6,41.68693834703355
NGC 2339,2254,0.007519,12.51,39.9944749761097
NGC 2268,2227,0.007428,12.24,35.3183169791957
NGC 2369,3240,0.010807,13.21,55.20774392807573
NGC 2397,1355,0.00452,12.68,43.25138310350088
NGC 2380,1782,0.005944,12.27,35.80964371026355
NGC 2377,2455,0.008189,13.54,64.26877173170195
NGC 2336,2204,0.007352,11.05,20.417379446695275
NGC 2276,2415,0.008056,11.93,30.619634336906756
NGC 2366,103,0.000344,11.43,24.32204009073816
NGC 2300,1905,0.006354,12.07,32.6587832172336
ESO 208- G 021,1085,0.003619,12.19,34.514373933585574
NGC 2434,1390,0.004637,12.33,36.81289736425313
NGC 2442,1466,0.00489,11.24,22.284351492703077
NGC 2427,972,0.003242,12.33,36.81289736425313
NGC 2403,133,0.000445,8.11,5.272298614228221
ESO 311- G 012,1131,0.003773,12.82,46.13175745603791
CGCG 262-029,10691,0.035661,15.3,144.5439770745928
NGC 2502,1065,0.003551,13.19,54.7015962893971
ESO 209- G 009,1119,0.003733,12.68,43.25138310350088
NGC 2484,12239,0.040825,14.1,83.17637711026708
NGC 2500,514,0.001715,12.2,34.67368504525324
NGC 2525,1580,0.00527,12.26,35.64511334262439
ESO 494- G 026,968,0.003229,12.47,39.26449353995993
NGC 2537,431,0.001438,12.32,36.643757464783334
IC 2233,557,0.001858,13.07,51.760683195056814
NGC 2541,548,0.001828,12.26,35.64511334262439
NGC 2559,1559,0.0052,11.73,27.92543841237342
NGC 2566,1637,0.00546,11.82,29.107171180666082
IC 2311,1844,0.006151,12.5,39.81071705534969
NGC 2549,1051,0.003506,12.1,33.11311214825914
Holmberg II,157,0.000524,11.1,20.892961308540407
NGC 2613,1676,0.005591,11.16,21.478304741305287
ESO 495- G 021,873,0.002912,12.45,38.904514499428124
NGC 2639,3336,0.011128,12.4,38.018939632056124
NGC 2663,2102,0.007012,11.86,29.64831389524339
ESO 371- G 016,2257,0.007529,12.77,45.081670454145915
NGC 2654,1339,0.004465,12.74,44.46312674691093
NGC 2672,4343,0.014487,12.7,43.651583224016655
ESO 371- G 020,2367,0.007895,13.46,61.94410750767811
NGC 2683,411,0.001371,10.64,16.904409316432634
NGC 2681,692,0.002308,11.09,20.79696687103698
NGC 2685,883,0.002945,12.12,33.419504002611355
NGC 2655,1400,0.00467,10.96,19.58844673505989
NGC 2713,3894,0.012989,12.7,43.651583224016655
NGC 2742,1292,0.00431,11.3,22.9086765276777
NGC 2715,1323,0.004413,11.79,28.70780582024692
NGC 2770,1947,0.006494,12.8,45.708818961487424
NGC 2775,1350,0.004503,11.03,20.23019178678272
UGCA 150,1838,0.006131,11.91,30.338911841942657
NGC 2781,2053,0.006848,12.53,40.36453929676048
NGC 2768,1353,0.004513,10.84,18.535316234148144
NGC 2784,691,0.002305,11.3,22.9086765276777
ESO 126- G 002,2858,0.009533,13.58,65.46361740672747
NGC 2748,1476,0.004923,12.4,38.018939632056124
NGC 2822,1652,0.00551,11.66,27.039583641088406
NGC 2782,2558,0.008533,12.3,36.3078054770101
NGC 2811,2368,0.007899,11.5,25.118864315095824
NGC 2815,2545,0.008489,12.81,45.919801283686944
NGC 2835,887,0.002959,11.01,20.044720273651592
NGC 2787,696,0.002322,11.82,29.107171180666082
NGC 2832,6897,0.023006,12.9,47.863009232263806
NGC 2805,1733,0.005779,11.52,25.35128630497902
NGC 2855,1897,0.006328,12.63,42.266861426560325
NGC 2841,635,0.002118,9.53,10.1391138573668
NGC 2887,2881,0.00961,12.77,45.081670454145915
NGC 2865,2627,0.008763,12.57,41.114972110452214
NGC 2859,1688,0.005631,11.83,29.241523778433308
NGC 2915,468,0.001561,13.2,54.954087385762485
NGC 2903,550,0.001834,9.68,10.864256236170643
UGCA 168,926,0.003089,12.8,45.708818961487424
NGC 2911,3231,0.010777,12.5,39.81071705534969
NGC 2935,2271,0.007575,12.35,37.153522909717275
NGC 2967,1878,0.006264,12.3,36.3078054770101
NGC 2974,1887,0.006294,12.3,36.3078054770101
NGC 2950,1322,0.00441,11.7,27.54228703338169
NGC 2965,6696,0.022336,14.0,79.43282347242821
NGC 2986,2302,0.007679,11.72,27.797132677592884
NGC 2997,1089,0.003633,10.06,12.941958414499863
NGC 3001,2464,0.008219,12.72,44.05548635065535
NGC 2976,3,9e-06,10.82,18.365383433483473
NGC 3003,1480,0.004937,12.33,36.81289736425313
NGC 3059,1257,0.004193,11.7,27.54228703338169
NGC 2985,1324,0.004416,11.18,21.677041048196966
NGC 3038,2790,0.009306,12.42,38.37072454922792
NGC 3041,1411,0.004707,12.3,36.3078054770101
NGC 3044,1289,0.0043,12.46,39.08408957924025
NGC 3054,2426,0.008091,11.6,26.302679918953814
NGC 3056,973,0.003246,12.57,41.114972110452214
NGC 3027,1060,0.003536,12.18,34.35579478998743
MESSIER 082,269,0.000897,9.3,9.120108393559077
NGC 3078,2580,0.008606,12.14,33.728730865886924
NGC 3087,2672,0.008913,11.58,26.061535499988924
IC 2531,2472,0.008246,12.9,47.863009232263806
Sextans B,301,0.001004,11.85,29.512092266663903
NGC 3095,2723,0.009083,12.42,38.37072454922792
NGC 3091,3964,0.013222,12.13,33.57376142429552
NGC 3079,1106,0.003689,9.97,12.416523075924095
NGC 3108,2673,0.008916,12.78,45.28975799036214
NGC 3109,403,0.001344,10.39,15.066070661867418
NGC 3077,14,4.7e-05,10.61,16.67247212551061
NGC 3115,686,0.002287,9.87,11.857687481671595
NGC 3136,1713,0.005714,11.7,27.54228703338169
Leo I,285,0.000951,11.18,21.677041048196966
IC 2554,1397,0.004659,12.51,39.9944749761097
NGC 3137,1104,0.003683,12.1,33.11311214825914
NGC 3145,3652,0.012182,12.56,40.926065973001094
NGC 3136B,1780,0.005937,12.7,43.651583224016655
Sextans A,324,0.001081,11.86,29.64831389524339
Sextans dSph,224,0.000748,10.4,15.13561248436207
NGC 3166,1183,0.003946,11.3,22.9086765276777
NGC 3169,1232,0.00411,10.8,18.197008586099827
NGC 3175,1087,0.003626,12.13,33.57376142429552
IC 2560,2925,0.009757,12.53,40.36453929676048
NGC 3147,2802,0.009346,11.43,24.32204009073816
NGC 3190:[LMD2020] B,1310,0.00437,11.3,22.9086765276777
NGC 3184,582,0.001941,10.3,14.45439770745925
NGC 3193,1381,0.004607,11.83,29.241523778433308
NGC 3200,3522,0.011748,12.83,46.34469197362874
NGC 3198,660,0.002202,10.8,18.197008586099827
NGC 3223,2893,0.00965,11.79,28.70780582024692
NGC 3226,1315,0.004386,12.3,36.3078054770101
NGC 3227,1126,0.003756,11.1,20.892961308540407
NGC 3239,710,0.002367,11.73,27.92543841237342
NGC 3250,2824,0.00942,12.18,34.35579478998743
NGC 3245,1326,0.004423,11.9,30.199517204020133
NGC 3256,2804,0.009354,12.15,33.884415613920204
IC 2574,57,0.00019,10.8,18.197008586099827
ESO 436- G 027,4303,0.014353,12.6,41.68693834703355
NGC 3258,2878,0.0096,12.49,39.627803425544016
NGC 3263,3002,0.010012,12.5,39.81071705534969
NGC 3254,1355,0.00452,12.9,47.863009232263806
NGC 3268,2800,0.00934,12.5,39.81071705534969
NGC 3271,3804,0.012689,12.86,46.98941086052151
NGC 3275,3211,0.010711,11.8,28.840315031265998
NGC 3283,2899,0.00967,12.5,39.81071705534969
NGC 3281,3200,0.010674,12.7,43.651583224016655
NGC 3366,2891,0.009645,12.03,32.062693245054675
NGC 3294,1561,0.005206,12.2,34.67368504525324
NGC 3309,4075,0.013593,12.6,41.68693834703355
NGC 3311,3825,0.012759,12.65,42.65795188015926
NGC 3301,1339,0.004466,12.31,36.4753946925608
NGC 3318,2775,0.009255,12.19,34.514373933585574
NGC 3313,3706,0.012362,12.38,37.670379898390934
IC 2597,2267,0.007562,12.84,46.55860935229601
NGC 3310,993,0.003312,11.15,21.379620895022324
NGC 3319,739,0.002465,11.48,24.888573182823954
NGC 3338,1300,0.004336,12.8,45.708818961487424
NGC 3347,3010,0.01004,12.17,34.197944251370934
NGC 3344,580,0.001935,10.45,15.488166189124827
NGC 3358,2988,0.009967,12.29,36.14098626396132
NGC 3346,1274,0.00425,13.4,60.25595860743569
MESSIER 095,779,0.002598,11.4,23.988329190194897
NGC 3367,3038,0.010134,12.7,43.651583224016655
NGC 3359,1014,0.003382,11.03,20.23019178678272
MESSIER 096,888,0.002962,10.11,13.243415351946643
NGC 3348,2737,0.009129,12.17,34.197944251370934
NGC 3377,664,0.002214,11.24,22.284351492703077
MESSIER 105,907,0.003026,10.24,14.060475241299159
NGC 3390,3047,0.010164,12.85,46.77351412871982
NGC 3384,704,0.002348,10.85,18.620871366628695
NGC 3412,841,0.002805,11.7,27.54228703338169
NGC 3423,1004,0.003349,11.59,26.18183008218992
NGC 3414,1470,0.004903,11.96,31.045595881283557
NGC 3430,1586,0.00529,12.2,34.67368504525324
NGC 3432,616,0.002055,10.5,15.848931924611142
WISEA J105249.09+405619.4,1,4e-06,14.1,83.17637711026708
NGC 3449,3276,0.010928,12.19,34.514373933585574
NGC 3489,677,0.002258,11.12,21.086281499332888
NGC 3486,678,0.002262,11.05,20.417379446695275
NGC 3495,1128,0.003763,12.41,38.194427084004566
NGC 3504,1525,0.005087,11.4,23.988329190194897
NGC 3511,1109,0.003699,11.53,25.468302525850444
NGC 3507,979,0.003266,11.73,27.92543841237342
NGC 3513,1193,0.003979,11.93,30.619634336906756
MRK 0421,9000,0.030021,12.8,45.708818961487424
NGC 3521,799,0.002665,9.83,11.64126029410491
NGC 3516,2649,0.008836,12.5,39.81071705534969
ESO 265- G 007,1068,0.003562,12.38,37.670379898390934
NGC 3557,3079,0.01027,11.41,24.099054286865933
MESSIER 108,696,0.002322,10.69,17.298163592151
NGC 3585,1434,0.004783,10.88,18.879913490962963
NGC 3593,622,0.002075,12.6,41.68693834703355
NGC 3596,1193,0.003979,11.95,30.90295432513592
NGC 3607,930,0.003102,10.82,18.365383433483473
NGC 3608,1253,0.00418,11.7,27.54228703338169
NGC 3621,730,0.002435,10.18,13.677288255958494
NGC 3610,1707,0.005694,11.7,27.54228703338169
NGC 3613,2051,0.006841,11.82,29.107171180666082
MESSIER 065,803,0.002679,10.25,14.125375446227554
NGC 3626,1494,0.004983,11.9,30.199517204020133
MESSIER 066,722,0.002408,9.65,10.71519305237605
NGC 3628,846,0.002822,10.2,13.803842646028867
NGC 3631,1156,0.003856,11.01,20.044720273651592
NGC 3640,1298,0.00433,11.36,23.55049283896009
NGC 3646,4246,0.014163,11.1,20.892961308540407
NGC 3642,1585,0.005287,12.6,41.68693834703355
NGC 3666,1060,0.003536,12.8,45.708818961487424
NGC 3665,2069,0.006901,11.9,30.199517204020133
NGC 3672,1871,0.006241,12.2,34.67368504525324
NGC 3673,1940,0.006471,12.34,36.98281797802667
NGC 3681,1232,0.004109,11.9,30.199517204020133
NGC 3686,1157,0.003859,11.89,30.06076302628229
NGC 3706,2977,0.00993,12.38,37.670379898390934
NGC 3705,1018,0.003396,11.86,29.64831389524339
NGC 3717,1733,0.005781,12.24,35.3183169791957
NGC 3718,993,0.003312,11.59,26.18183008218992
NGC 3726,864,0.002882,10.91,19.142559250210823
NGC 3729,1060,0.003536,12.03,32.062693245054675
NGC 3738,236,0.000787,12.13,33.57376142429552
NGC 3735,2696,0.008993,12.5,39.81071705534969
MRK 0180,13491,0.045,15.5,158.4893192461111
NGC 3756,1289,0.0043,12.11,33.26595532940047
NGC 3769,737,0.002459,12.5,39.81071705534969
NGC 3810,992,0.003309,12.0,31.622776601683793
NGC 3862,6474,0.021595,13.67,68.23386941416705
NGC 3877,895,0.002985,12.1,33.11311214825914
NGC 3887,1208,0.004029,11.41,24.099054286865933
NGC 3893,967,0.003226,11.16,21.478304741305287
NGC 3894,3230,0.010773,12.63,42.266861426560325
NGC 3900,1800,0.006004,12.5,39.81071705534969
NGC 3904,1576,0.005257,11.83,29.241523778433308
NGC 3898,1157,0.003859,11.6,26.302679918953814
NGC 3917,965,0.003218,12.51,39.9944749761097
NGC 3923,1739,0.005801,10.8,18.197008586099827
NGC 3936,2013,0.006715,12.76,44.87453899331314
NGC 3938,808,0.002695,10.8,18.197008586099827
NGC 3941,922,0.003075,11.25,22.387211385683376
NGC 3945,1281,0.004273,11.8,28.840315031265998
NGC 3949,800,0.002669,11.7,27.54228703338169
NGC 3953,1050,0.003502,9.88,11.912420080273762
NGC 3955,1491,0.004973,12.89,47.64309868054156
NGC 3962,1815,0.006054,12.5,39.81071705534969
NGC 3981,1723,0.005747,12.08,32.809529311311906
NGC 3982,1112,0.00371,12.0,31.622776601683793
MESSIER 109,1048,0.003496,10.6,16.59586907437563
NGC 3998,1048,0.003496,11.61,26.42408757321945
NGC 4013,831,0.002773,12.1,33.11311214825914
IC 0750,701,0.002337,12.8,45.708818961487424
NGC 4026,985,0.003286,11.67,27.164392688390837
NGC 4027,1671,0.005574,11.66,27.039583641088406
NGC 4030,1458,0.004863,11.6,26.302679918953814
NGC 4036,1385,0.00462,11.7,27.54228703338169
NGC 4038,1624,0.005417,11.2,21.877616239495563
NGC 4039,1641,0.005474,11.08,20.70141348791041
NGC 4041,1215,0.004053,12.1,33.11311214825914
NGC 4045,1961,0.006542,12.9,47.863009232263806
NGC 4051,700,0.002336,10.83,18.450154191794738
NGC 4062,758,0.002528,12.5,39.81071705534969
NGC 4064,907,0.003025,12.22,34.994516702835696
NGC 4073,5912,0.019719,12.9,47.863009232263806
NGC 4088,746,0.002488,11.15,21.379620895022324
NGC 4096,572,0.001908,12.3,36.3078054770101
NGC 4100,1074,0.003584,11.89,30.06076302628229
NGC 4102,846,0.002823,12.3,36.3078054770101
NGC 4105,1858,0.006198,11.6,26.302679918953814
NGC 4106,2150,0.007172,12.36,37.32501577957206
NGC 4111,788,0.002628,11.63,26.668586645214805
NGC 4112,2714,0.009053,12.82,46.13175745603791
NGC 4125,1281,0.004273,10.65,16.982436524617427
NGC 4119,1651,0.005507,12.3,36.3078054770101
NGC 4123,1327,0.004426,12.9,47.863009232263806
NGC 4136,606,0.002021,11.69,27.41574171927881
NGC 4138,874,0.002915,12.16,34.04081897010002
NGC 4143,946,0.003156,11.9,30.199517204020133
NGC 4144,265,0.000884,12.05,32.35936569296281
NGC 4145,1009,0.003366,11.78,28.575905433749497
NGC 4151,997,0.003326,11.5,25.118864315095824
NGC 4150,208,0.000694,12.44,38.725764492161645
NGC 4157,771,0.002572,12.15,33.884415613920204
NGC 4162,2572,0.008579,12.87,47.206304126358994
NGC 4168,2273,0.007582,12.4,38.018939632056124
NGC 4178,374,0.001248,11.9,30.199517204020133
NGC 4179,1300,0.004336,12.1,33.11311214825914
NGC 4183,929,0.003099,12.9,47.863009232263806
NGC 4203,1086,0.003623,11.8,28.840315031265998
NGC 4206,703,0.002345,13.0,50.118723362727245
